ClefDate,Date,Jour,Semaine,Mois,Trimestre,Annee,Ferie
54,2024-11-17,Sunday,46,11,4,2024,Non
55,2024-02-21,Wednesday,8,2,1,2024,Non
56,2024-04-21,Sunday,16,4,2,2024,Oui
57,2024-09-13,Friday,37,9,3,2024,Oui
58,2024-04-22,Monday,17,4,2,2024,Non
59,2024-03-10,Sunday,10,3,1,2024,Non
60,2024-07-28,Sunday,30,7,3,2024,Non
61,2024-07-30,Tuesday,31,7,3,2024,Non
62,2024-03-19,Tuesday,12,3,1,2024,Non
63,2024-07-07,Sunday,27,7,3,2024,Non
64,2024-09-26,Thursday,39,9,3,2024,Non
65,2024-05-27,Monday,22,5,2,2024,Oui
66,2024-07-20,Saturday,29,7,3,2024,Oui
67,2024-01-31,Wednesday,5,1,1,2024,Non
68,2024-11-18,Monday,47,11,4,2024,Oui
69,2024-07-04,Thursday,27,7,3,2024,Non
70,2024-10-09,Wednesday,41,10,4,2024,Oui
71,2024-12-04,Wednesday,49,12,4,2024,Oui
72,2024-05-23,Thursday,21,5,2,2024,Non
73,2024-06-18,Tuesday,25,6,2,2024,Oui
74,2024-05-10,Friday,19,5,2,2024,Oui
75,2024-07-10,Wednesday,28,7,3,2024,Oui
76,2024-11-03,Sunday,44,11,4,2024,Oui
77,2024-04-07,Sunday,14,4,2,2024,Non
78,2024-11-24,Sunday,47,11,4,2024,Oui
79,2024-11-03,Sunday,44,11,4,2024,Oui
80,2024-06-15,Saturday,24,6,2,2024,Oui
81,2024-11-07,Thursday,45,11,4,2024,Oui
82,2024-09-10,Tuesday,37,9,3,2024,Oui
83,2024-10-27,Sunday,43,10,4,2024,Oui
84,2024-05-18,Saturday,20,5,2,2024,Oui
85,2024-12-18,Wednesday,51,12,4,2024,Oui
86,2024-03-11,Monday,11,3,1,2024,Non
87,2024-07-15,Monday,29,7,3,2024,Oui
88,2024-07-03,Wednesday,27,7,3,2024,Oui
89,2024-06-27,Thursday,26,6,2,2024,Non
90,2024-11-12,Tuesday,46,11,4,2024,Oui
91,2024-05-30,Thursday,22,5,2,2024,Non
92,2024-02-01,Thursday,5,2,1,2024,Oui
93,2024-08-10,Saturday,32,8,3,2024,Oui
94,2024-01-09,Tuesday,2,1,1,2024,Non
95,2024-07-29,Monday,31,7,3,2024,Oui
96,2024-02-28,Wednesday,9,2,1,2024,Non
97,2024-01-15,Monday,3,1,1,2024,Oui
98,2024-10-08,Tuesday,41,10,4,2024,Oui
99,2024-06-11,Tuesday,24,6,2,2024,Oui
100,2024-05-31,Friday,22,5,2,2024,Oui
101,2024-10-02,Wednesday,40,10,4,2024,Non
102,2024-09-27,Friday,39,9,3,2024,Non
103,2023-12-23,Saturday,51,12,4,2023,Non
104,2024-07-18,Thursday,29,7,3,2024,Non
105,2024-04-19,Friday,16,4,2,2024,Oui
106,2024-06-06,Thursday,23,6,2,2024,Non
107,2024-08-22,Thursday,34,8,3,2024,Non
108,2024-02-04,Sunday,5,2,1,2024,Non
109,2024-12-21,Saturday,51,12,4,2024,Oui
110,2024-01-05,Friday,1,1,1,2024,Non
111,2024-11-06,Wednesday,45,11,4,2024,Oui
112,2024-04-08,Monday,15,4,2,2024,Oui
113,2024-01-05,Friday,1,1,1,2024,Non
114,2024-05-10,Friday,19,5,2,2024,Oui
115,2024-12-17,Tuesday,51,12,4,2024,Oui
116,2024-11-30,Saturday,48,11,4,2024,Non
117,2024-10-10,Thursday,41,10,4,2024,Oui
118,2024-05-12,Sunday,19,5,2,2024,Oui
119,2024-01-01,Monday,1,1,1,2024,Non
120,2024-11-17,Sunday,46,11,4,2024,Oui
121,2024-09-04,Wednesday,36,9,3,2024,Non
122,2024-03-31,Sunday,13,3,1,2024,Oui
123,2024-11-28,Thursday,48,11,4,2024,Oui
124,2024-02-23,Friday,8,2,1,2024,Non
125,2024-05-27,Monday,22,5,2,2024,Non
126,2024-09-26,Thursday,39,9,3,2024,Oui
127,2024-07-01,Monday,27,7,3,2024,Non
128,2024-02-02,Friday,5,2,1,2024,Oui
129,2024-07-23,Tuesday,30,7,3,2024,Oui
130,2024-02-25,Sunday,8,2,1,2024,Oui
131,2024-04-29,Monday,18,4,2,2024,Non
132,2024-12-04,Wednesday,49,12,4,2024,Non
133,2024-11-19,Tuesday,47,11,4,2024,Non
134,2024-04-21,Sunday,16,4,2,2024,Non
135,2024-01-24,Wednesday,4,1,1,2024,Non
136,2024-05-29,Wednesday,22,5,2,2024,Non
137,2024-09-18,Wednesday,38,9,3,2024,Non
138,2024-03-29,Friday,13,3,1,2024,Non
139,2024-03-23,Saturday,12,3,1,2024,Non
140,2024-10-21,Monday,43,10,4,2024,Non
141,2024-02-22,Thursday,8,2,1,2024,Oui
142,2024-08-11,Sunday,32,8,3,2024,Non
143,2024-08-10,Saturday,32,8,3,2024,Oui
144,2024-11-14,Thursday,46,11,4,2024,Non
145,2023-12-27,Wednesday,52,12,4,2023,Oui
146,2024-01-29,Monday,5,1,1,2024,Oui
147,2024-07-20,Saturday,29,7,3,2024,Oui
148,2024-06-01,Saturday,22,6,2,2024,Non
149,2024-06-11,Tuesday,24,6,2,2024,Non
150,2024-07-06,Saturday,27,7,3,2024,Oui
151,2024-02-20,Tuesday,8,2,1,2024,Oui
152,2024-04-22,Monday,17,4,2,2024,Oui
153,2024-05-02,Thursday,18,5,2,2024,Non
154,2024-06-03,Monday,23,6,2,2024,Non
155,2024-07-08,Monday,28,7,3,2024,Non
156,2024-11-05,Tuesday,45,11,4,2024,Oui
157,2024-11-11,Monday,46,11,4,2024,Oui
158,2024-01-20,Saturday,3,1,1,2024,Oui
159,2024-09-29,Sunday,39,9,3,2024,Oui
160,2024-03-19,Tuesday,12,3,1,2024,Non
161,2024-08-24,Saturday,34,8,3,2024,Oui
162,2024-03-30,Saturday,13,3,1,2024,Non
163,2024-02-09,Friday,6,2,1,2024,Non
164,2024-04-15,Monday,16,4,2,2024,Oui
165,2024-05-30,Thursday,22,5,2,2024,Non
166,2024-02-15,Thursday,7,2,1,2024,Non
167,2024-09-10,Tuesday,37,9,3,2024,Oui
168,2024-10-11,Friday,41,10,4,2024,Non
169,2024-04-20,Saturday,16,4,2,2024,Non
170,2024-10-10,Thursday,41,10,4,2024,Oui
171,2024-06-05,Wednesday,23,6,2,2024,Non
172,2024-08-20,Tuesday,34,8,3,2024,Oui
173,2024-02-08,Thursday,6,2,1,2024,Non
174,2024-04-18,Thursday,16,4,2,2024,Non
175,2024-03-11,Monday,11,3,1,2024,Oui
176,2024-03-29,Friday,13,3,1,2024,Non
177,2024-07-17,Wednesday,29,7,3,2024,Oui
178,2024-01-25,Thursday,4,1,1,2024,Non
179,2024-01-06,Saturday,1,1,1,2024,Oui
180,2024-08-11,Sunday,32,8,3,2024,Non
181,2024-05-19,Sunday,20,5,2,2024,Oui
182,2024-01-14,Sunday,2,1,1,2024,Oui
183,2023-12-30,Saturday,52,12,4,2023,Oui
184,2024-06-09,Sunday,23,6,2,2024,Non
185,2024-12-02,Monday,49,12,4,2024,Non
186,2024-11-14,Thursday,46,11,4,2024,Non
187,2024-11-30,Saturday,48,11,4,2024,Non
188,2024-06-07,Friday,23,6,2,2024,Non
189,2024-09-14,Saturday,37,9,3,2024,Non
190,2024-07-15,Monday,29,7,3,2024,Oui
191,2024-03-18,Monday,12,3,1,2024,Oui
192,2024-06-29,Saturday,26,6,2,2024,Non
193,2024-08-25,Sunday,34,8,3,2024,Non
194,2023-12-31,Sunday,52,12,4,2023,Non
195,2024-04-10,Wednesday,15,4,2,2024,Oui
196,2024-09-05,Thursday,36,9,3,2024,Oui
197,2024-01-25,Thursday,4,1,1,2024,Oui
198,2024-10-01,Tuesday,40,10,4,2024,Oui
199,2024-06-25,Tuesday,26,6,2,2024,Oui
200,2024-05-18,Saturday,20,5,2,2024,Non
201,2023-12-31,Sunday,52,12,4,2023,Non
202,2024-11-16,Saturday,46,11,4,2024,Oui
203,2024-01-22,Monday,4,1,1,2024,Non
204,2024-04-22,Monday,17,4,2,2024,Non
205,2024-04-10,Wednesday,15,4,2,2024,Oui
206,2024-09-16,Monday,38,9,3,2024,Non
207,2024-07-06,Saturday,27,7,3,2024,Non
208,2024-07-03,Wednesday,27,7,3,2024,Non
209,2024-09-02,Monday,36,9,3,2024,Non
210,2024-05-13,Monday,20,5,2,2024,Non
211,2024-09-29,Sunday,39,9,3,2024,Oui
212,2024-02-16,Friday,7,2,1,2024,Oui
213,2024-07-15,Monday,29,7,3,2024,Non
214,2024-11-01,Friday,44,11,4,2024,Oui
215,2024-07-25,Thursday,30,7,3,2024,Non
216,2024-09-28,Saturday,39,9,3,2024,Oui
217,2024-03-16,Saturday,11,3,1,2024,Non
218,2024-11-04,Monday,45,11,4,2024,Non
219,2024-01-10,Wednesday,2,1,1,2024,Non
220,2024-09-13,Friday,37,9,3,2024,Non
221,2024-07-21,Sunday,29,7,3,2024,Oui
222,2024-04-19,Friday,16,4,2,2024,Oui
223,2024-05-16,Thursday,20,5,2,2024,Non
224,2024-10-14,Monday,42,10,4,2024,Oui
225,2024-05-11,Saturday,19,5,2,2024,Non
226,2024-01-18,Thursday,3,1,1,2024,Non
227,2023-12-31,Sunday,52,12,4,2023,Non
228,2024-10-29,Tuesday,44,10,4,2024,Oui
229,2024-11-27,Wednesday,48,11,4,2024,Non
230,2024-02-16,Friday,7,2,1,2024,Non
231,2024-07-05,Friday,27,7,3,2024,Oui
232,2024-03-27,Wednesday,13,3,1,2024,Non
233,2024-10-08,Tuesday,41,10,4,2024,Non
234,2024-09-26,Thursday,39,9,3,2024,Oui
235,2024-09-24,Tuesday,39,9,3,2024,Oui
236,2024-04-10,Wednesday,15,4,2,2024,Oui
237,2024-04-25,Thursday,17,4,2,2024,Non
238,2024-01-28,Sunday,4,1,1,2024,Non
239,2024-04-11,Thursday,15,4,2,2024,Non
240,2024-02-02,Friday,5,2,1,2024,Oui
241,2024-08-31,Saturday,35,8,3,2024,Non
242,2023-12-31,Sunday,52,12,4,2023,Oui
243,2024-05-13,Monday,20,5,2,2024,Non
244,2024-02-05,Monday,6,2,1,2024,Oui
245,2024-12-02,Monday,49,12,4,2024,Oui
246,2024-04-24,Wednesday,17,4,2,2024,Non
247,2024-01-03,Wednesday,1,1,1,2024,Oui
248,2024-03-25,Monday,13,3,1,2024,Oui
249,2024-12-06,Friday,49,12,4,2024,Oui
250,2024-12-16,Monday,51,12,4,2024,Oui
251,2024-11-17,Sunday,46,11,4,2024,Non
252,2024-03-18,Monday,12,3,1,2024,Non
253,2024-11-05,Tuesday,45,11,4,2024,Oui
254,2024-07-14,Sunday,28,7,3,2024,Non
255,2024-04-15,Monday,16,4,2,2024,Non
256,2024-08-22,Thursday,34,8,3,2024,Non
257,2023-12-29,Friday,52,12,4,2023,Non
258,2024-12-01,Sunday,48,12,4,2024,Non
259,2024-12-21,Saturday,51,12,4,2024,Oui
260,2024-08-22,Thursday,34,8,3,2024,Oui
261,2024-05-12,Sunday,19,5,2,2024,Non
262,2024-06-24,Monday,26,6,2,2024,Oui
263,2024-06-06,Thursday,23,6,2,2024,Non
264,2024-02-10,Saturday,6,2,1,2024,Oui
265,2024-11-18,Monday,47,11,4,2024,Non
266,2024-10-10,Thursday,41,10,4,2024,Oui
267,2024-08-05,Monday,32,8,3,2024,Non
268,2024-04-23,Tuesday,17,4,2,2024,Oui
269,2024-10-18,Friday,42,10,4,2024,Non
270,2024-10-16,Wednesday,42,10,4,2024,Oui
271,2024-08-23,Friday,34,8,3,2024,Non
272,2024-07-22,Monday,30,7,3,2024,Non
273,2024-04-07,Sunday,14,4,2,2024,Oui
274,2024-03-03,Sunday,9,3,1,2024,Non
275,2024-09-21,Saturday,38,9,3,2024,Non
276,2024-10-27,Sunday,43,10,4,2024,Non
277,2024-02-29,Thursday,9,2,1,2024,Oui
278,2024-09-21,Saturday,38,9,3,2024,Oui
279,2024-11-03,Sunday,44,11,4,2024,Oui
280,2024-12-12,Thursday,50,12,4,2024,Oui
281,2024-03-25,Monday,13,3,1,2024,Non
282,2024-10-24,Thursday,43,10,4,2024,Oui
283,2024-09-22,Sunday,38,9,3,2024,Oui
284,2024-10-11,Friday,41,10,4,2024,Oui
285,2024-12-09,Monday,50,12,4,2024,Non
286,2024-10-12,Saturday,41,10,4,2024,Oui
287,2024-06-24,Monday,26,6,2,2024,Oui
288,2024-05-12,Sunday,19,5,2,2024,Oui
289,2024-06-02,Sunday,22,6,2,2024,Non
290,2024-03-08,Friday,10,3,1,2024,Oui
291,2024-01-16,Tuesday,3,1,1,2024,Oui
292,2023-12-27,Wednesday,52,12,4,2023,Non
293,2024-06-28,Friday,26,6,2,2024,Non
294,2024-03-11,Monday,11,3,1,2024,Oui
295,2023-12-29,Friday,52,12,4,2023,Oui
296,2024-08-27,Tuesday,35,8,3,2024,Oui
297,2024-11-10,Sunday,45,11,4,2024,Oui
298,2024-07-11,Thursday,28,7,3,2024,Oui
299,2024-12-16,Monday,51,12,4,2024,Non
300,2024-10-09,Wednesday,41,10,4,2024,Oui
301,2024-04-13,Saturday,15,4,2,2024,Non
302,2024-03-05,Tuesday,10,3,1,2024,Non
303,2024-08-29,Thursday,35,8,3,2024,Oui
304,2024-11-18,Monday,47,11,4,2024,Non
305,2024-01-16,Tuesday,3,1,1,2024,Oui
306,2024-08-22,Thursday,34,8,3,2024,Oui
307,2024-08-22,Thursday,34,8,3,2024,Oui
308,2024-12-09,Monday,50,12,4,2024,Oui
309,2024-05-18,Saturday,20,5,2,2024,Oui
310,2024-09-05,Thursday,36,9,3,2024,Non
311,2024-06-12,Wednesday,24,6,2,2024,Non
312,2024-06-15,Saturday,24,6,2,2024,Oui
313,2024-06-17,Monday,25,6,2,2024,Non
314,2024-06-22,Saturday,25,6,2,2024,Oui
315,2024-04-17,Wednesday,16,4,2,2024,Non
316,2024-08-24,Saturday,34,8,3,2024,Non
317,2024-01-21,Sunday,3,1,1,2024,Non
318,2024-04-10,Wednesday,15,4,2,2024,Oui
319,2023-12-29,Friday,52,12,4,2023,Oui
320,2024-03-28,Thursday,13,3,1,2024,Oui
321,2024-11-18,Monday,47,11,4,2024,Oui
322,2024-01-14,Sunday,2,1,1,2024,Non
323,2024-10-26,Saturday,43,10,4,2024,Non
324,2024-09-15,Sunday,37,9,3,2024,Non
325,2024-12-01,Sunday,48,12,4,2024,Oui
326,2024-11-12,Tuesday,46,11,4,2024,Oui
327,2024-02-04,Sunday,5,2,1,2024,Oui
328,2024-05-26,Sunday,21,5,2,2024,Non
329,2024-09-13,Friday,37,9,3,2024,Oui
330,2024-08-07,Wednesday,32,8,3,2024,Non
331,2024-10-02,Wednesday,40,10,4,2024,Oui
332,2024-08-29,Thursday,35,8,3,2024,Oui
333,2024-12-04,Wednesday,49,12,4,2024,Non
334,2024-04-26,Friday,17,4,2,2024,Oui
335,2024-03-14,Thursday,11,3,1,2024,Non
336,2024-11-18,Monday,47,11,4,2024,Non
337,2024-11-17,Sunday,46,11,4,2024,Non
338,2024-05-03,Friday,18,5,2,2024,Non
339,2024-07-13,Saturday,28,7,3,2024,Non
340,2023-12-27,Wednesday,52,12,4,2023,Non
341,2024-02-02,Friday,5,2,1,2024,Oui
342,2024-12-14,Saturday,50,12,4,2024,Oui
343,2024-08-11,Sunday,32,8,3,2024,Oui
344,2024-06-01,Saturday,22,6,2,2024,Non
345,2024-06-14,Friday,24,6,2,2024,Non
346,2024-10-20,Sunday,42,10,4,2024,Non
347,2024-01-23,Tuesday,4,1,1,2024,Oui
348,2024-06-17,Monday,25,6,2,2024,Oui
349,2024-05-16,Thursday,20,5,2,2024,Non
350,2024-04-10,Wednesday,15,4,2,2024,Oui
351,2024-12-12,Thursday,50,12,4,2024,Non
352,2024-04-16,Tuesday,16,4,2,2024,Non
353,2024-10-31,Thursday,44,10,4,2024,Oui
354,2024-10-06,Sunday,40,10,4,2024,Oui
355,2024-11-13,Wednesday,46,11,4,2024,Oui
356,2024-04-06,Saturday,14,4,2,2024,Oui
357,2024-10-16,Wednesday,42,10,4,2024,Non
358,2024-11-11,Monday,46,11,4,2024,Oui
359,2024-01-15,Monday,3,1,1,2024,Non
360,2024-06-16,Sunday,24,6,2,2024,Oui
361,2024-09-19,Thursday,38,9,3,2024,Non
362,2024-02-29,Thursday,9,2,1,2024,Non
363,2024-08-28,Wednesday,35,8,3,2024,Oui
364,2024-01-18,Thursday,3,1,1,2024,Oui
365,2024-09-18,Wednesday,38,9,3,2024,Oui
