TotalSalesAmount
---------------------------------------
287174.99

    (1 row(s) affected)
    

TotalQuantitySold
-----------------
5389

    (1 row(s) affected)
    

AvgSalesAmount
---------------------------------------
287.174990

    (1 row(s) affected)
    

UniqueCustomers
---------------
100

    (1 row(s) affected)
    

ClefProduit TotalQuantity
----------- -------------
38          158
2           157
40          153
49          153
17          147
21          145
45          134
11          131
3           129
6           126
41          125
12          124
14          123
28          120
35          116
36          116
24          116
27          115
19          113
31          112
37          111
42          111
30          111
50          110
1           110
39          110
15          107
44          103
47          101
23          101
43          101
22          101
48          100
26          98
9           98
25          97
33          97
8           93
13          89
10          88
16          87
34          86
7           86
46          80
20          79
32          78
4           77
5           70
29          50
18          46

    (50 row(s) affected)
    

NomMagasin                                                                                           Annee       Mois        ChiffreAffaires
18-25      Nabeul                                                                                               13
18-25      Tunis                                                                                                16
26-35      Ben Arous                                                                                            16
26-35      Gabès                                                                                                16
26-35      Monastir                                                                                             17
26-35      Nabeul                                                                                               19
26-35      Tunis                                                                                                13
36-45      Ben Arous                                                                                            17
36-45      Gabès                                                                                                18
36-45      Monastir                                                                                             20
36-45      Nabeul                                                                                               18
36-45      Tunis                                                                                                18
46-55      Ben Arous                                                                                            11
46-55      Gabès                                                                                                13
46-55      Monastir                                                                                             14
46-55      Nabeul                                                                                               11
46-55      Tunis                                                                                                12
55+        Ben Arous                                                                                            26
55+        Gabès                                                                                                26
55+        Monastir                                                                                             26
55+        Nabeul                                                                                               25
55+        Tunis                                                                                                28

    (25 row(s) affected)
    

NomPromotion                                                                                         NombreVentes ChiffreAffaires                         TauxReductionMoyen
---------------------------------------------------------------------------------------------------- ------------ --------------------------------------- ---------------------------------------
L'assurance de rouler plus facilement                                                                113          33262.90                                3.7393089501213172257
L'avantage de concrétiser vos projets sans soucis                                                    105          33124.47                                4.4582642263956271920
Le pouvoir de louer naturellement                                                                    112          30790.73                                4.9462159319446314902
La possibilité de louer à sa source                                                                  111          30749.14                                4.1321530741482459300
L'avantage de rouler autrement                                                                       97           28936.28                                3.6360853145497962069
L'art d'avancer plus rapidement                                                                      98           28604.28                                5.7174198565365262786
La liberté de louer à l'état pur                                                                     99           26288.75                                6.5713696224761022939
Le confort d'avancer à sa source                                                                     79           25682.13                                3.6212791886639839923
L'assurance d'atteindre vos buts de manière sûre                                                     90           25366.85                                3.9695535200241977781
La liberté de changer plus facilement                                                                96           24369.46                                7.1627291132427026062

    (10 row(s) affected)
    

